iter	Passed	Remaining
0	148	148262
1	153	76590
2	157	52234
3	161	40214
4	166	33214
5	170	28253
6	173	24655
7	177	21994
8	182	20051
9	189	18766
10	192	17345
11	198	16316
12	206	15695
13	213	15023
14	222	14632
15	228	14036
16	234	13573
17	244	13316
18	251	12981
19	254	12486
20	259	12082
21	262	11673
22	265	11291
23	268	10938
24	272	10645
25	277	10397
26	281	10131
27	284	9873
28	288	9654
29	291	9432
30	294	9220
31	298	9023
32	301	8833
33	306	8700
34	309	8532
35	312	8371
36	315	8221
37	319	8099
38	323	7969
39	326	7841
40	329	7717
41	333	7597
42	339	7563
43	343	7458
44	346	7351
45	349	7251
46	354	7184
47	357	7091
48	360	7002
49	363	6915
50	368	6854
51	374	6824
52	378	6755
53	381	6680
54	386	6646
55	391	6591
56	394	6525
57	397	6461
58	403	6430
59	406	6372
60	412	6345
61	417	6322
62	421	6272
63	426	6238
64	430	6193
65	434	6151
66	441	6153
67	446	6112
68	450	6072
69	456	6062
70	460	6019
71	465	6003
72	470	5972
73	477	5968
74	481	5935
75	486	5912
76	491	5890
77	495	5858
78	501	5847
79	504	5804
80	509	5779
81	513	5747
82	516	5707
83	519	5666
84	523	5637
85	527	5605
86	532	5587
87	535	5552
88	539	5526
89	543	5493
90	546	5460
91	549	5425
92	553	5396
93	557	5374
94	560	5341
95	563	5308
96	566	5277
97	571	5257
98	574	5228
99	577	5198
100	581	5177
101	586	5161
102	590	5138
103	593	5111
104	596	5082
105	599	5053
106	604	5049
107	608	5023
108	614	5020
109	617	4998
110	622	4988
111	626	4963
112	629	4937
113	633	4920
114	636	4899
115	639	4875
116	642	4850
117	645	4826
118	650	4813
119	653	4792
120	656	4769
121	659	4746
122	662	4725
123	668	4722
124	672	4704
125	675	4686
126	679	4672
127	685	4673
128	690	4660
129	694	4647
130	700	4647
131	705	4637
132	709	4622
133	719	4648
134	723	4636
135	731	4646
136	737	4647
137	741	4632
138	750	4647
139	754	4632
140	758	4618
141	765	4623
142	768	4608
143	775	4608
144	781	4606
145	785	4597
146	791	4594
147	796	4585
148	802	4584
149	809	4584
150	813	4571
151	816	4555
152	820	4544
153	824	4528
154	827	4511
155	830	4494
156	833	4476
157	838	4469
158	842	4457
159	845	4437
160	848	4419
161	851	4405
162	855	4395
163	859	4379
164	861	4361
165	864	4343
166	869	4334
167	871	4317
168	874	4301
169	876	4281
170	879	4265
171	883	4253
172	886	4239
173	889	4224
174	892	4208
175	895	4193
176	900	4185
177	903	4171
178	906	4156
179	908	4137
180	911	4123
181	915	4113
182	918	4099
183	921	4085
184	924	4071
185	927	4060
186	931	4051
187	936	4045
188	939	4033
189	942	4020
190	947	4012
191	951	4002
192	956	3998
193	962	3999
194	966	3988
195	969	3975
196	972	3965
197	977	3959
198	984	3962
199	994	3978
200	999	3971
201	1007	3980
202	1011	3973
203	1016	3967
204	1030	3997
205	1039	4006
206	1043	3999
207	1048	3992
208	1054	3990
209	1058	3980
210	1075	4021
211	1081	4019
212	1088	4023
213	1095	4022
214	1103	4027
215	1108	4022
216	1112	4013
217	1117	4009
218	1121	4001
219	1125	3991
220	1129	3982
221	1135	3980
222	1139	3971
223	1143	3961
224	1146	3948
225	1152	3945
226	1155	3934
227	1158	3922
228	1161	3910
229	1166	3905
230	1169	3894
231	1172	3882
232	1175	3871
233	1179	3862
234	1183	3853
235	1187	3845
236	1190	3832
237	1194	3823
238	1198	3814
239	1204	3813
240	1206	3799
241	1210	3791
242	1214	3783
243	1219	3777
244	1221	3764
245	1224	3753
246	1230	3751
247	1233	3740
248	1237	3731
249	1248	3746
250	1251	3735
251	1254	3723
252	1261	3726
253	1267	3723
254	1270	3712
255	1273	3702
256	1277	3692
257	1283	3692
258	1294	3704
259	1307	3721
260	1313	3720
261	1319	3717
262	1324	3712
263	1331	3711
264	1334	3702
265	1339	3696
266	1347	3699
267	1356	3705
268	1360	3697
269	1364	3689
270	1367	3679
271	1374	3678
272	1382	3682
273	1387	3675
274	1395	3678
275	1399	3670
276	1405	3667
277	1409	3660
278	1412	3649
279	1414	3638
280	1417	3626
281	1421	3619
282	1425	3611
283	1428	3602
284	1432	3594
285	1436	3585
286	1439	3577
287	1442	3566
288	1447	3560
289	1452	3556
290	1456	3548
291	1460	3540
292	1464	3532
293	1467	3524
294	1470	3514
295	1474	3506
296	1477	3497
297	1481	3489
298	1484	3481
299	1488	3473
300	1490	3462
301	1494	3454
302	1499	3448
303	1503	3441
304	1506	3433
305	1509	3423
306	1512	3413
307	1516	3406
308	1519	3398
309	1523	3390
310	1526	3381
311	1530	3374
312	1532	3363
313	1534	3352
314	1536	3342
315	1540	3333
316	1543	3324
317	1547	3318
318	1550	3309
319	1552	3299
320	1555	3291
321	1558	3282
322	1563	3277
323	1567	3269
324	1570	3261
325	1572	3250
326	1577	3247
327	1580	3237
328	1585	3233
329	1588	3224
330	1590	3213
331	1594	3207
332	1598	3201
333	1601	3193
334	1603	3183
335	1606	3174
336	1610	3167
337	1613	3159
338	1615	3150
339	1618	3141
340	1621	3133
341	1625	3126
342	1628	3118
343	1631	3110
344	1633	3101
345	1635	3091
346	1637	3081
347	1641	3075
348	1644	3066
349	1646	3058
350	1648	3048
351	1651	3040
352	1653	3031
353	1656	3023
354	1659	3015
355	1662	3008
356	1665	2999
357	1668	2991
358	1671	2983
359	1674	2976
360	1677	2968
361	1679	2959
362	1681	2950
363	1684	2942
364	1687	2935
365	1690	2928
366	1693	2921
367	1697	2915
368	1700	2907
369	1704	2903
370	1708	2896
371	1711	2888
372	1714	2882
